,DN,DN2,D_o,PN25,PN40,PN63,PN100
0,25,"1""",32,3,3,3,4
1,32,"1 1/4""",38,3,3,3.5,4.5
2,40,"1 1/2""",45,3.5,3.5,3.5,4.5
3,50,"2""",57,3.5,3.5,3.5,5
4,65,"2 1/2""",76,4,4,4.5,6
5,80,"3""",89,4,4,5,7
6,100,"4""",108,4,4,6,8
7,125,"5""",133,4,4,6,9
8,150,"6""",159,4.5,4.5,7,10
9,200,"8""",219,6,6,9,12
10,250,"10""",273,7,7,11,-
11,300,"12""",325,8,9,12,-
12,350,"14""",377,9,9,-,-
13,400,"16""",426,9,11,-,-
14,450,"18""",478,9,-,-,-
15,500,"20""",529,9,-,-,-
16,600,"24""",630,9,-,-,-
