,DN,DN2,D_o,Sch5s,Sch10s,Sch10,Sch20,Sch30,Sch40s,STD,Sch40,Sch60,Sch80s,XS,Sch80,Sch100,Sch120,Sch140,Sch160,XXS
0,6,"1/8""",10.3,-,1.24,-,-,-,1.73,1.73,1.73,-,2.41,2.41,2.41,-,-,-,-,-
1,8,"1/4""",13.7,-,1.65,-,-,-,2.24,2.24,2.24,-,3.02,3.02,3.02,-,-,-,-,-
2,10,"3/8""",17.1,-,1.65,-,-,-,2.31,2.31,2.31,-,3.2,3.2,3.2,-,-,-,-,-
3,15,"1/2""",21.3,1.65,2.11,-,-,-,2.77,2.77,2.77,-,3.73,3.73,3.73,-,-,-,4.78,7.47
4,20,"3/4""",26.7,1.65,2.11,-,-,-,2.87,2.87,2.87,-,3.91,3.91,3.91,-,-,-,5.56,7.82
5,25,"1""",33.4,1.65,2.77,-,-,-,3.38,3.38,3.38,-,4.55,4.55,4.55,-,-,-,6.35,9.09
6,32,"1 1/4""",42.2,1.65,2.77,-,-,-,3.56,3.56,3.56,-,4.85,4.85,4.85,-,-,-,6.35,9.7
7,40,"1 1/2""",48.3,1.65,2.77,-,-,-,3.68,3.68,3.68,-,5.08,5.08,5.08,-,-,-,7.14,10.15
8,50,"2""",60.3,1.65,2.77,-,-,-,3.91,3.91,3.91,-,5.54,5.54,5.54,-,-,-,8.74,11.07
9,65,"2 1/2""",73,2.11,3.05,-,-,-,5.16,5.16,5.16,-,7.01,7.01,7.01,-,-,-,9.53,14.02
10,80,"3""",88.9,2.11,3.05,-,-,-,5.49,5.49,5.49,-,7.62,7.62,7.62,-,-,-,11.13,15.24
11,90,"3 1/2""",101.6,2.11,3.05,-,-,-,5.74,5.74,5.74,-,8.08,8.08,8.08,-,-,-,-,-
12,100,"4""",114.3,2.11,3.05,-,-,-,6.02,6.02,6.02,-,8.56,8.56,8.56,-,11.13,-,13.49,17.12
13,125,"5""",141.3,2.77,3.4,-,-,-,6.55,6.55,6.55,-,9.53,9.53,9.53,-,12.7,-,15.88,19.05
14,150,"6""",168.3,2.77,3.4,-,-,-,7.11,7.11,7.11,-,10.97,10.97,10.97,-,14.27,-,18.26,21.95
15,200,"8""",219.1,2.77,3.76,-,6.35,7.04,8.18,8.18,8.18,10.31,12.7,12.7,12.7,15.09,18.26,20.62,23.01,22.23
16,250,"10""",273.1,3.4,4.19,-,6.35,7.8,9.27,9.27,9.27,12.7,12.7,12.7,15.09,18.26,21.44,25.4,28.58,25.4
17,300,"12""",323.9,3.96,4.57,-,6.35,8.38,9.53,9.53,10.31,14.27,12.7,12.7,17.48,21.44,25.4,28.58,33.32,25.4
18,350,"14""",355.6,3.96,4.78,6.35,7.92,9.53,-,9.53,11.13,15.09,-,12.7,19.05,23.83,27.79,31.75,35.71,-
19,400,"16""",406.4,4.19,4.78,6.35,7.92,9.53,-,9.53,12.7,16.66,-,12.7,21.44,26.19,30.96,36.53,40.49,-
20,450,"18""",457.2,4.19,4.78,6.35,7.92,11.13,-,9.53,14.27,19.05,-,12.7,23.83,29.36,34.96,39.67,45.24,-
21,500,"20""",508,4.78,5.54,6.35,9.53,12.7,-,9.53,15.09,20.62,-,12.7,26.19,32.54,38.1,44.45,50.01,-
22,550,"22""",558.8,4.78,5.54,6.35,9.53,12.7,-,9.53,-,22.23,-,12.7,28.58,34.93,41.28,47.63,53.98,-
23,600,"24""",609.6,5.54,6.35,6.35,9.53,14.27,-,9.53,17.48,24.61,-,12.7,30.96,38.89,46.02,52.37,59.54,-
24,650,"26""",660.4,-,-,7.92,12.7,-,-,9.53,-,-,-,12.7,-,-,-,-,-,-
25,700,"28""",711.2,-,-,7.92,12.7,15.88,-,9.53,-,-,-,12.7,-,-,-,-,-,-
26,750,"30""",762,6.35,7.92,7.92,12.7,15.88,-,9.53,-,-,-,12.7,-,-,-,-,-,-
27,800,"32""",812.8,-,-,7.92,12.7,15.88,-,9.53,17.48,-,-,12.7,-,-,-,-,-,-
28,850,"34""",863.6,-,-,7.92,12.7,15.88,-,9.53,17.48,-,-,12.7,-,-,-,-,-,-
29,900,"36""",914.4,-,-,7.92,12.7,15.88,-,9.53,17.48,-,-,12.7,-,-,-,-,-,-
30,950,"38""",965.2,-,-,-,-,-,-,9.53,-,-,-,12.7,-,-,-,-,-,-
31,1000,"40""",1016,-,-,-,-,-,-,9.53,-,-,-,12.7,-,-,-,-,-,-
32,1050,"42""",1066.8,-,-,-,-,-,-,9.53,-,-,-,12.7,-,-,-,-,-,-
33,1100,"44""",1117.6,-,-,-,-,-,-,9.53,-,-,-,12.7,-,-,-,-,-,-
34,1150,"46""",1168.4,-,-,-,-,-,-,9.53,-,-,-,12.7,-,-,-,-,-,-
35,1200,"48""",1219.2,-,-,-,-,-,-,9.53,-,-,-,12.7,-,-,-,-,-,-
