,PN,DN,A1_A,A1_B,D,K,L,n,Th,C,B1_A,B1_B,B2_A,B2_B,U,N,R,H,RF_d,RF_f1,d,f1,f2,f3,W,X,Y,Z,m_kg,LSR,LZR,LZJ
0,10,10,17.2,14,90,60,14,4,M12,16,11.5,9,18.0,15,9,30,4,22,40,2,40,2,4.5,4,24,34,35,23,0.5,50,70,-
1,10,15,21.3,18,95,65,14,4,M12,16,15.5,12,22.5,19,10,35,4,22,45,2,45,2,4.5,4,29,39,40,28,0.5,50,70,-
2,10,20,26.9,25,105,75,14,4,M12,18,21.0,19,27.5,26,11,45,4,26,58,2,58,2,4.5,4,36,50,51,35,1.0,55,75,-
3,10,25,33.7,32,115,85,14,4,M12,18,27.0,26,34.5,33,13,52,4,28,68,2,68,2,4.5,4,43,57,58,42,1.5,55,75,-
4,10,32,42.4,38,140,100,18,4,M16,18,35.0,30,43.5,39,14,60,6,30,78,2,78,2,4.5,4,51,65,66,50,2.0,60,85,-
5,10,40,48.3,45,150,110,18,4,M16,18,41.0,37,49.5,46,16,70,6,32,88,2,88,2,4.5,4,61,75,76,60,2.0,60,85,-
6,10,50,60.3,57,165,125,18,4,M16,18,52.0,49,61.5,59,17,84,5,28,102,2,102,2,4.5,4,73,87,88,72,2.5,60,85,-
7,16,10,17.2,14,90,60,14,4,M12,16,11.5,9,18.0,15,9,30,4,22,40,2,40,2,4.5,4,24,34,35,23,0.5,50,70,-
8,16,15,21.3,18,95,65,14,4,M12,16,15.5,12,22.5,19,10,35,4,22,45,2,45,2,4.5,4,29,39,40,28,0.5,50,70,-
9,16,20,26.9,25,105,75,14,4,M12,18,21.0,19,27.5,26,11,45,4,26,58,2,58,2,4.5,4,36,50,51,35,1.0,55,75,-
10,16,25,33.7,32,115,85,14,4,M12,18,27.0,26,34.5,33,13,52,4,28,68,2,68,2,4.5,4,43,57,58,42,1.5,55,75,-
11,16,32,42.4,38,140,100,18,4,M16,18,35.0,30,43.5,39,14,60,6,30,78,2,78,2,4.5,4,51,65,66,50,2.0,60,85,-
12,16,40,48.3,45,150,110,18,4,M16,18,41.0,37,49.5,46,16,70,6,32,88,2,88,2,4.5,4,61,75,76,60,2.0,60,85,-
13,16,50,60.3,57,165,125,18,4,M16,18,52.0,49,61.5,59,17,84,5,28,102,2,102,2,4.5,4,73,87,88,72,2.5,60,85,-
14,25,10,17.2,14,90,60,14,4,M12,16,11.5,9,18.0,15,9,30,4,22,40,2,40,2,4.5,4,24,34,35,23,0.5,-,70,-
15,25,15,21.3,18,95,65,14,4,M12,16,15.5,12,22.5,19,10,35,4,22,45,2,45,2,4.5,4,29,39,40,28,0.5,-,70,-
16,25,20,26.9,25,105,75,14,4,M12,18,21.0,19,27.5,26,11,45,4,26,58,2,58,2,4.5,4,36,50,51,35,1.0,-,75,-
17,25,25,33.7,32,115,85,14,4,M12,18,27.0,26,34.5,33,13,52,4,28,68,2,68,2,4.5,4,43,57,58,42,1.5,-,75,-
18,25,32,42.4,38,140,100,18,4,M16,18,35.0,30,43.5,39,14,60,6,30,78,2,78,2,4.5,4,51,65,66,50,2.0,-,85,-
19,25,40,48.3,45,150,110,18,4,M16,18,41.0,37,49.5,46,16,70,6,32,88,2,88,2,4.5,4,61,75,76,60,2.0,-,85,-
20,25,50,60.3,57,165,125,18,4,M16,20,52.0,49,61.5,59,17,84,6,34,102,2,102,2,4.5,4,73,87,88,72,3.0,-,90,-
21,40,10,17.2,14,90,60,14,4,M12,16,11.5,9,18.0,15,9,30,4,22,40,2,40,2,4.5,4,24,34,35,23,0.5,-,70,-
22,40,15,21.3,18,95,65,14,4,M12,16,15.5,12,22.5,19,10,35,4,22,45,2,45,2,4.5,4,29,39,40,28,0.5,-,70,-
23,40,20,26.9,25,105,75,14,4,M12,18,21.0,19,27.5,26,11,45,4,26,58,2,58,2,4.5,4,36,50,51,35,1.0,-,75,-
24,40,25,33.7,32,115,85,14,4,M12,18,27.0,26,34.5,33,13,52,4,28,68,2,68,2,4.5,4,43,57,58,42,1.5,-,75,-
25,40,32,42.4,38,140,100,18,4,M16,18,35.0,30,43.5,39,14,60,6,30,78,2,78,2,4.5,4,51,65,66,50,2.0,-,85,-
26,40,40,48.3,45,150,110,18,4,M16,18,41.0,37,49.5,46,16,70,6,32,88,2,88,2,4.5,4,61,75,76,60,2.0,-,85,-
27,40,50,60.3,57,165,125,18,4,M16,20,52.0,49,61.5,59,17,84,6,34,102,2,102,2,4.5,4,73,87,88,72,3.0,-,90,-
28,63,10,17.2,14,100,70,14,4,M12,20,11.5,9,18.0,15,9,40,4,28,40,2,40,2,4.5,4,24,34,35,23,1.0,-,75,90
29,63,15,21.3,18,105,75,14,4,M12,20,15.5,12,22.5,19,10,43,4,28,45,2,45,2,4.5,4,29,39,40,28,1.0,-,75,90
30,63,20,26.9,25,130,90,18,4,M16,22,21.0,19,27.5,26,11,52,4,30,58,2,58,2,4.5,4,36,50,51,35,2.0,-,95,105
31,63,25,33.7,32,140,100,18,4,M16,24,27.0,26,34.5,33,13,60,4,32,68,2,68,2,4.5,4,43,57,58,42,2.5,-,95,110
32,63,32,42.4,38,155,110,22,4,M20,24,35.0,30,43.5,39,14,68,6,32,78,2,78,2,4.5,4,51,65,66,50,3.0,-,105,120
33,63,40,48.3,45,170,125,22,4,M20,26,41.0,37,49.5,46,16,80,6,34,88,2,88,2,4.5,4,61,75,76,60,4.0,-,110,125
34,63,50,60.3,57,180,135,22,4,M20,26,52.0,49,61.5,59,17,90,6,36,102,2,102,2,4.5,4,73,87,88,72,4.5,-,110,130
35,100,10,17.2,14,100,70,14,4,M12,20,11.5,9,18.0,15,9,40,4,28,40,2,40,2,4.5,4,24,34,35,23,1.0,-,75,90
36,100,15,21.3,18,105,75,14,4,M12,20,15.5,12,22.5,19,10,43,4,28,45,2,45,2,4.5,4,29,39,40,28,1.0,-,75,90
37,100,20,26.9,25,130,90,18,4,M16,22,21.0,19,27.5,26,11,52,4,30,58,2,58,2,4.5,4,36,50,51,35,2.0,-,95,105
38,100,25,33.7,32,140,100,18,4,M16,24,27.0,26,34.5,33,13,60,4,32,68,2,68,2,4.5,4,43,57,58,42,2.5,-,95,110
39,100,32,42.4,38,155,110,22,4,M20,24,35.0,30,43.5,39,14,68,6,32,78,2,78,2,4.5,4,51,65,66,50,3.0,-,105,120
40,100,40,48.3,45,170,125,22,4,M20,26,41.0,37,49.5,46,16,80,6,34,88,2,88,2,4.5,4,61,75,76,60,4.0,-,110,125
41,100,50,60.3,57,195,145,26,4,M24,28,52.0,49,61.5,59,17,95,6,36,102,2,102,2,4.5,4,73,87,88,72,5.5,-,125,145
